genome_name,name,Completeness,Contamination,ncbi_lineage,gtdb_taxonomy,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_001771665.1,candidate division WOR-1 bacterium RIFOXYC2_FULL_41_25,87.61,1.71,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__XYD2-FULL-41-8;s__XYD2-FULL-41-8 sp001771545,WOR5,Other,,SAMN04314583,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001771665.1,Scaffold,1.81044,41.5,,MEUI01,50,1715,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/771/665/GCA_001771665.1_ASM177166v1,
GCA_002398105.1,Syntrophomonas sp. UBA4911,95.6,1.74,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105,Firmicutes,Firmicutes,UBA4911,SAMN06450505,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002398105.1,Scaffold,3.00911,47.1,,DHCD01,117,0,2017-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/398/105/GCA_002398105.1_ASM239810v1,
GCA_002305765.1,Deltaproteobacteria bacterium UBA1386,88.17,2.9,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__Delta-02 sp002305765,Deltaproteobacteria,Deltaproteobacteria,UBA1386,SAMN06456171,PRJNA348753,Parks 2017 UBA reassembly,Metagenomic study of the microbial genes abundance in treated palm oil mill effluent,Engineered,GCA_002305765.1,Scaffold,3.56852,57.6,,DBQU01,121,0,2017-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/765/GCA_002305765.1_ASM230576v1,
GCA_000178115.2,Ethanoligenens harbinense YUAN-3,97.32,0.34,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens;s__Ethanoligenens harbinense,Firmicutes,Firmicutes,YUAN-3,SAMN00008641,PRJNA39729,JGI Isolate sequencing,NA,Isolate,GCA_000178115.2,Complete,3.00858,55.6,chromosome:NC_014828.1/CP002400.1,,1,2758,2010-12-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/115/GCA_000178115.2_ASM17811v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/115/GCF_000178115.2_ASM17811v2
GCA_000189295.2,Desulfovibrio desulfuricans ND132,100,0.59,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio desulfuricans,Deltaproteobacteria,Deltaproteobacteria,ND132,SAMN02232015,PRJNA37769,Isolate sequencing,NA,Isolate,GCA_000189295.2,Complete,3.85858,65.2,chromosome:NC_016803.1/CP003220.1,,1,3423,2011-12-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/295/GCA_000189295.2_ASM18929v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/295/GCF_000189295.2_ASM18929v2
GCA_003252075.1,Nitrospirae bacterium,89.09,2.73,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__UBA6898;s__UBA6898 sp003252075,Nitrospirae,Nitrospirae,SZUA-452,SAMN09288000,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003252075.1,Contig,2.85762,52.1,,QKDO01,146,0,2018-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/252/075/GCA_003252075.1_ASM325207v1,
GCA_002397955.1,Synergistaceae bacterium UBA4921,96.61,1.69,Bacteria;Synergistetes;Synergistia,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__Syner-03 sp002316795,Synergistetes,Synergistetes,UBA4921,SAMN06457722,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002397955.1,Scaffold,1.83181,49.8,,DHBT01,66,0,2017-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/397/955/GCA_002397955.1_ASM239795v1,
GCA_003159015.1,Myxococcales bacterium,75.84,1.31,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1118;s__Fen-1118 sp003136095,Deltaproteobacteria,Deltaproteobacteria,fen_1120,SAMN08179536,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003159015.1,Scaffold,5.57632,66.2,,PMLD01,634,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/159/015/GCA_003159015.1_20120600_E1D,
GCA_003141795.1,Spirochaetaceae bacterium,89.74,3.07,Bacteria;Spirochaetes;Spirochaetia,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RBG-16-67-19;g__Fen-1364;s__Fen-1364 sp003141795,Spirochaetes,Spirochaetes,fen_1366,SAMN08180101,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003141795.1,Scaffold,5.20007,62.6,,PLNO01,389,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/795/GCA_003141795.1_20120800_E1X,
GCA_003053505.1,Geobacter sp. DSM 2909,99.13,0.81,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__QAXR01;s__QAXR01 sp003053505,Deltaproteobacteria,Deltaproteobacteria,DSM 2909,SAMN08776316,PRJNA439843,JGI Isolate sequencing,NA,Isolate,GCA_003053505.1,Scaffold,4.6208,56.9,,QAXR01,85,4072,2018-04-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/053/505/GCA_003053505.1_ASM305350v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/053/505/GCF_003053505.1_ASM305350v1
GCA_002299555.1,Candidatus Aminicenantes bacterium UBA647,86.48,1.71,Bacteria;unclassified Bacteria;Bacteria candidate phyla,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA647;s__UBA647 sp002299555,Candidatus Aminicenantes,Other,UBA647,SAMN06457567,PRJNA348753,Parks 2017 UBA reassembly,Hakon Mosby Mud Volcano Targeted Locus (Loci),Sediment,GCA_002299555.1,Scaffold,2.65605,37.6,,DBOL01,115,0,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/299/555/GCA_002299555.1_ASM229955v1,
GCA_001443455.1,Deltaproteobacteria bacterium CSP1-8,78.99,0.84,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__CSP1-8;s__CSP1-8 sp001443455,Deltaproteobacteria,Deltaproteobacteria,CSP1-8,SAMN03462095,PRJNA262935,Sediment metagenome,Hug et al. 2015,Sediment,GCA_001443455.1,Scaffold,2.17727,63.5,,LDXO01,46,2130,2015-11-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/455/GCA_001443455.1_ASM144345v1,
GCA_001768975.1,Bacteroidetes bacterium GWA2_31_9,91.28,1.19,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-33-38;g__GWA2-31-9;s__GWA2-31-9 sp001768975,Bacteroidetes,Bacteroidetes,,SAMN04314154,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001768975.1,Scaffold,4.96025,30.3,,MEND01,288,3422,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/768/975/GCA_001768975.1_ASM176897v1,
GCA_003141525.1,Bacteroidales bacterium,94.77,2.86,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003141525,Bacteroidetes,Bacteroidetes,fen_980,SAMN08180130,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003141525.1,Scaffold,4.82209,38,,PLML01,241,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/525/GCA_003141525.1_20120800_E3D,
GCA_003170115.1,Spirochaetaceae bacterium,84.98,2.4,Bacteria;Spirochaetes;Spirochaetia,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RBG-16-67-19;g__Fen-1364;s__Fen-1364 sp003170115,Spirochaetes,Spirochaetes,fen_1364,SAMN08179085,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003170115.1,Scaffold,4.08082,61.9,,PMZS01,405,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/170/115/GCA_003170115.1_20110800_E3D,
GCA_001873285.1,Nitrospirae bacterium CG2_30_53_67,90.46,1.72,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__CG2-30-53-67;c__CG2-30-53-67;o__CG2-30-53-67;f__CG2-30-53-67;g__CG2-30-53-67;s__CG2-30-53-67 sp001873285,Nitrospirae,Nitrospirae,CG2_30_53_67,SAMN04328285,PRJNA297582,groundwater metagenome/Subsurface,Probst et al. 2017,Subsurface,GCA_001873285.1,Scaffold,2.366,53.1,,MNYV01,183,2109,2016-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/873/285/GCA_001873285.1_ASM187328v1,
GCA_002415465.1,Desulfobulbaceae bacterium UBA5123,74.86,1.66,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__UBA5123 sp002415465,Deltaproteobacteria,Deltaproteobacteria,UBA5123,SAMN06457176,PRJNA348753,Parks 2017 UBA reassembly,Metagenomic sequence data was obtained for multiple sites on three SE Queensland river estuaries (Logan, Maroochydoore and Noosa). The study is looking at the ecological communities in each of these systems, and how they are impacted by pollution and envi,Estuary,GCA_002415465.1,Scaffold,2.28089,60.7,,DHYT01,240,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/415/465/GCA_002415465.1_ASM241546v1,
GCA_002771505.1,Nitrospirae bacterium CG22_combo_CG10-13_8_21_14_all_44_11,93.41,0,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001871685,Nitrospirae,Nitrospirae,CG22_combo_CG10-13_8_21_14_all_44_11,SAMN06659640,PRJNA362739,aquifer metagenome,Probst et al. 2044,Subsurface,GCA_002771505.1,Scaffold,2.01515,43.8,,PCTJ01,262,2131,2017-11-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/771/505/GCA_002771505.1_ASM277150v1,
GCA_002407865.1,Spirochaetia bacterium UBA5368,86.71,2.25,Bacteria;Spirochaetes;Spirochaetia,d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5368;g__UBA5368;s__UBA5368 sp002407865,Spirochaetes,Spirochaetes,UBA5368,SAMN06454102,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002407865.1,Scaffold,3.4065,50,,DHPI01,86,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/407/865/GCA_002407865.1_ASM240786v1,
GCA_000020725.1,Geobacter bemidjiensis Bem,99.78,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__Geobacter_A bemidjiensis,Deltaproteobacteria,Deltaproteobacteria,Bem,SAMN02598400,PRJNA17707,Isolate sequencing,Aklujkar et al. 2009,Isolate,GCA_000020725.1,Complete,4.61515,60.3,chromosome:NC_011146.1/CP001124.1,,1,3969,2008-08-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/725/GCA_000020725.1_ASM2072v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/725/GCF_000020725.1_ASM2072v1
GCA_001797465.1,Deltaproteobacteria bacterium GWB2_55_19,94.84,2.26,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWB2-55-19;s__GWB2-55-19 sp001797465,Deltaproteobacteria,Deltaproteobacteria,,SAMN04313920,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001797465.1,Scaffold,2.62501,56.1,,MGPQ01,21,2375,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/797/465/GCA_001797465.1_ASM179746v1,
GCA_900141635.1,Peptoclostridium litorale DSM 5388,100,0.7,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptoclostridiaceae;g__Peptoclostridium;s__Peptoclostridium litorale,Firmicutes,Firmicutes,DSM 5388,SAMN02745945,PRJEB18279,JGI Isolate sequencing,NA,Isolate,GCA_900141635.1,Scaffold,3.19762,41.2,,FSRH01,38,2838,2016-12-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/141/635/GCA_900141635.1_IMG-taxon_2585428090_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/141/635/GCF_900141635.1_IMG-taxon_2585428090_annotated_assembly
GCA_001829495.1,Spirochaetes bacterium RBG_16_49_21,96.56,2.25,Bacteria;Spirochaetes;unclassified Spirochaetes,d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__RBG-16-49-21 sp001829495,Spirochaetes,Spirochaetes,,SAMN04313740,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829495.1,Scaffold,3.79882,50.3,,MIBJ01,83,3413,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/495/GCA_001829495.1_ASM182949v1,
GCA_002327415.1,Smithella sp. UBA2180,76.96,2.58,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp002327415,Deltaproteobacteria,Deltaproteobacteria,UBA2180,SAMN06452574,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002327415.1,Scaffold,1.74877,42.4,,DCVU01,189,0,2017-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/327/415/GCA_002327415.1_ASM232741v1,
GCA_000802135.1,Desulfosporosinus sp. BICA1-9,99.43,8.48,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp000961805,Firmicutes,Firmicutes,BICA1-9,SAMN02953445,PRJNA257561,rock porewater metagenome, deep Subsurface,NA,Subsurface,GCA_000802135.1,Contig,6.98715,42.8,,JUEE01,266,5942,2014-12-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/802/135/GCA_000802135.1_ASM80213v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/802/135/GCF_000802135.1_ASM80213v1
GCA_002423765.1,Firmicutes bacterium UBA5526,92.01,3.85,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__Sedimentibacter sp002381185,Firmicutes,Firmicutes,UBA5526,SAMN06457710,PRJNA348753,Parks 2017 UBA reassembly,New York City MTA subway samples Metagenome,Built_Environment,GCA_002423765.1,Scaffold,3.99007,35.3,,DIOA01,97,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/423/765/GCA_002423765.1_ASM242376v1,
GCA_001829335.1,Spirochaetes bacterium GWE2_31_10,96.55,2.4,Bacteria;Spirochaetes;unclassified Spirochaetes,d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWE2-31-10;s__GWE2-31-10 sp001829315,Spirochaetes,Spirochaetes,,SAMN04313950,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829335.1,Scaffold,4.11947,31.5,,MIBA01,113,3334,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/335/GCA_001829335.1_ASM182933v1,
GCA_900143695.1,Desulfopila aestuarii DSM 18488,99.91,0.6,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfopila;s__Desulfopila aestuarii,Deltaproteobacteria,Deltaproteobacteria,DSM 18488,SAMN02745220,PRJEB18519,JGI Isolate sequencing,NA,Isolate,GCA_900143695.1,Contig,6.06558,49.6,,FRFE01,103,5073,2016-12-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/143/695/GCA_900143695.1_IMG-taxon_2582581262_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/143/695/GCF_900143695.1_IMG-taxon_2582581262_annotated_assembly
GCA_002841295.1,Actinobacteria bacterium HGW-Actinobacteria-6,95.26,1.75,Bacteria;Terrabacteria group;Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2286;s__UBA2286 sp002841295,Actinobacteria,Actinobacteria,HGW-Actinobacteria-6,SAMN06767552,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002841295.1,Contig,2.3526,62.1,,PHEU01,69,2309,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/295/GCA_002841295.1_ASM284129v1,
GCA_002781345.1,Nitrospirae bacterium CG01_land_8_20_14_3_00_44_22,96.14,0,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001871685,Nitrospirae,Nitrospirae,CG01_land_8_20_14_3_00_44_22,SAMN06659159,PRJNA362739,aquifer metagenome,Probst et al. 2032,Subsurface,GCA_002781345.1,Scaffold,2.10853,43.8,,PETK01,261,2295,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/781/345/GCA_002781345.1_ASM278134v1,
GCA_001262605.1,Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933,97.32,6.94,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Pseudobacteroides;s__Pseudobacteroides cellulosolvens,Firmicutes,Firmicutes,DSM 2933,SAMN03938399,PRJNA290984,Isolate sequencing,Dassa et al. 2015,Isolate,GCA_001262605.1,Contig,6.87882,35.6,,LGTC01,1,5462,2015-08-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/262/605/GCA_001262605.1_ASM126260v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/262/605/GCF_001262605.1_ASM126260v1
GCA_003337725.1,Marinilabilia salmonicolor,100,1.09,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__Marinilabilia;s__Marinilabilia salmonicolor_A,Bacteroidetes,Bacteroidetes,160A,SAMN09074952,PRJNA463113,JGI Isolate sequencing,NA ,Isolate,GCA_003337725.1,Scaffold,5.14527,42.2,,QPIZ01,88,3947,2018-07-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/337/725/GCA_003337725.1_ASM333772v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/337/725/GCF_003337725.1_ASM333772v1
GCA_003169075.1,Syntrophaceae bacterium,90.5,2.21,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775,Deltaproteobacteria,Deltaproteobacteria,bog_1090,SAMN08178839,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003169075.1,Scaffold,3.14939,43.3,,PMQM01,350,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/169/075/GCA_003169075.1_20110600_S2D,
GCA_001795545.1,Deltaproteobacteria bacterium GWA2_55_82,94.84,1.94,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__GWC2-55-46 sp001595385,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314100,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001795545.1,Scaffold,2.74264,55.4,,MGPM01,14,2571,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/795/545/GCA_001795545.1_ASM179554v1,
GCA_003252375.1,Halodesulfovibrio sp.,97.04,0.89,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio;s__Halodesulfovibrio sp003252375,Deltaproteobacteria,Deltaproteobacteria,SZUA-473,SAMN09288021,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003252375.1,Contig,3.43627,60.9,,QKEJ01,203,0,2018-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/252/375/GCA_003252375.1_ASM325237v1,
GCA_003158355.1,Anaerolineaceae bacterium,84.31,4.55,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6107;s__UBA6107 sp003158355,Chloroflexi,Chloroflexi,fen_1049,SAMN08179596,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003158355.1,Scaffold,2.71092,47.6,,PMIV01,292,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/158/355/GCA_003158355.1_20120600_E3D,
GCA_900105645.1,Desulfobacula phenolica,99.35,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__Desulfobacula toluolica,Deltaproteobacteria,Deltaproteobacteria,DSM 3384,SAMN04487931,PRJEB16485,JGI Isolate sequencing,NA,Isolate,GCA_900105645.1,Scaffold,4.87134,41.4,,FNLL01,54,4107,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/105/645/GCA_900105645.1_IMG-taxon_2616644807_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/645/GCF_900105645.1_IMG-taxon_2616644807_annotated_assembly
GCA_001707455.1,Dehalobacter sp. TeCB1,99.94,0.17,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Dehalobacter;s__Dehalobacter restrictus,Firmicutes,Firmicutes,TeCB1,SAMN04932652,PRJNA320344,Isolate sequencing,NA,Isolate,GCA_001707455.1,Scaffold,3.13322,44,,MCHF01,67,2935,2016-08-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/707/455/GCA_001707455.1_ASM170745v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/707/455/GCF_001707455.1_ASM170745v1
GCA_001789195.1,Candidatus Raymondbacteria bacterium RifOxyA12_full_50_37,82.42,1.1,Bacteria;unclassified Bacteria;Bacteria candidate phyla,d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__XYB2-FULL-49-35;g__XYB2-FULL-49-35;s__XYB2-FULL-49-35 sp001789205,Candidatus Raymondbacteria,Other,,SAMN04314389,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001789195.1,Scaffold,4.10977,49.9,,MFYS01,84,3323,2016-10-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/789/195/GCA_001789195.1_ASM178919v1,
GCA_001798155.1,Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_44,70.62,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp001797665,Deltaproteobacteria,Deltaproteobacteria,,SAMN04315482,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001798155.1,Scaffold,1.90352,41.9,,MGRK01,145,1747,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/798/155/GCA_001798155.1_ASM179815v1,
GCA_001800475.1,Elusimicrobia bacterium RIFOXYB2_FULL_46_23,96.56,0,Bacteria;Elusimicrobia;unclassified Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__XYA2-FULL-47-53;s__XYA2-FULL-47-53 sp001800315,Elusimicrobia,Elusimicrobia,,SAMN04314444,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001800475.1,Scaffold,2.39845,47.8,,MGVL01,26,1933,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/800/475/GCA_001800475.1_ASM180047v1,
